date,home,away,home_score,away_score,league,odds_1,odds_x,odds_2
2025-03-03,Vannes AC,Rouen FC,2,2,Ligue Demo,3.02,4.34,2.02
2025-03-04,Colmar United,Chartres SC,1,1,Ligue Demo,1.73,4.59,3.88
2025-03-05,Tarbes AS,Chartres SC,2,2,Ligue Demo,2.16,3.88,2.98
2025-03-06,Annecy SC,Quimper FC,1,0,Ligue Demo,1.32,5.92,7.94
2025-03-07,Biarritz OL,Albi SC,1,0,Ligue Demo,1.51,5.09,5.06
2025-03-09,Quimper FC,Albi SC,0,0,Ligue Demo,2.02,3.3,3.9
2025-03-10,Perpignan FC,Rouen FC,1,1,Ligue Demo,3.6,4.73,1.77
2025-03-11,Colmar United,Annecy SC,0,0,Ligue Demo,2.41,4.08,2.53
2025-03-12,Perpignan FC,Tarbes AS,2,1,Ligue Demo,1.77,4.38,3.83
2025-03-13,Annecy SC,Laval CF,4,2,Ligue Demo,1.4,5.16,6.69
2025-03-14,Albi SC,Chartres SC,1,0,Ligue Demo,3.07,3.62,2.21
2025-03-16,Tarbes AS,Vannes AC,1,4,Ligue Demo,3.23,3.68,2.11
2025-03-17,Chartres SC,Verdun AC,3,0,Ligue Demo,1.72,3.71,4.92
2025-03-18,Biarritz OL,Laval CF,1,1,Ligue Demo,1.71,4.18,4.33
2025-03-19,Albi SC,Verdun AC,2,3,Ligue Demo,1.99,3.69,3.55
2025-03-20,Vannes AC,Biarritz OL,1,1,Ligue Demo,1.83,3.88,3.98
2025-03-21,Biarritz OL,Vannes AC,0,2,Ligue Demo,2.36,4.44,2.46
2025-03-23,Vannes AC,Perpignan FC,0,1,Ligue Demo,1.66,4.65,4.23
2025-03-24,Laval CF,Rouen FC,1,4,Ligue Demo,5.53,5.19,1.47
2025-03-25,Perpignan FC,Biarritz OL,2,1,Ligue Demo,2.38,3.88,2.66
2025-03-26,Annecy SC,Tarbes AS,1,3,Ligue Demo,1.35,5.84,6.97
2025-03-27,Albi SC,Biarritz OL,1,3,Ligue Demo,3.29,3.92,2.02
2025-03-28,Colmar United,Perpignan FC,3,2,Ligue Demo,2.0,3.85,3.38
2025-03-30,Perpignan FC,Laval CF,0,2,Ligue Demo,1.77,4.13,4.02
2025-03-31,Annecy SC,Rouen FC,1,1,Ligue Demo,2.24,4.79,2.5
2025-04-01,Colmar United,Quimper FC,0,1,Ligue Demo,1.45,5.27,5.73
2025-04-02,Rouen FC,Perpignan FC,3,2,Ligue Demo,1.33,5.82,7.53
2025-04-03,Rouen FC,Verdun AC,3,1,Ligue Demo,1.16,7.84,16.11
2025-04-04,Biarritz OL,Quimper FC,0,0,Ligue Demo,1.59,4.67,4.74
2025-04-06,Quimper FC,Annecy SC,1,2,Ligue Demo,4.44,4.34,1.67
2025-04-07,Albi SC,Quimper FC,1,1,Ligue Demo,2.31,3.67,2.86
2025-04-08,Laval CF,Colmar United,2,1,Ligue Demo,2.95,4.33,2.06
2025-04-09,Chartres SC,Biarritz OL,2,0,Ligue Demo,2.34,3.96,2.67
2025-04-10,Verdun AC,Colmar United,0,1,Ligue Demo,5.84,4.22,1.55
2025-04-11,Laval CF,Annecy SC,3,1,Ligue Demo,4.46,4.36,1.66
2025-04-13,Vannes AC,Chartres SC,2,0,Ligue Demo,1.77,4.0,4.18
2025-04-14,Rouen FC,Annecy SC,2,2,Ligue Demo,1.88,3.67,4.01
2025-04-15,Chartres SC,Albi SC,2,3,Ligue Demo,1.73,3.84,4.6
2025-04-16,Rouen FC,Laval CF,4,2,Ligue Demo,1.32,5.77,8.25
2025-04-17,Albi SC,Colmar United,0,1,Ligue Demo,3.55,4.17,1.88
2025-04-18,Quimper FC,Laval CF,0,1,Ligue Demo,2.36,3.62,2.82
